à bientôt 	ab1to
accro 	akro
acheter 	HT
à demain 	@2m1
à demain 	a2m2
affaire 	afR
âgé 	aG
âge 	aJ
aider 	éD
ai 	è
aime 	M
aller 	alé
aller 	go
aller-retour 	AR
à lundi 	al1di
amis 	poto
anniversaire 	aniv
apéro 	aPro
à plus tard 	@+
à plus tard 	a+
après 	aprè
après-midi 	aprem
arrête 	areT
arrêter 	arèT
arriver 	ariV
attitude 	en mode
aucune 	Oqn
aucun 	oK1
aujourd'hui 	aujourd8
à un de ces quatre 	a12c4
au revoir 	bye
aussi 	oci
aussi vite que possible 	asap
avancer 	avanC
avant 	avt
avec 	avc
balader 	balaD
bavarder 	bavarD
beaucoup 	bc
beau garçon 	bogoss
bien 	b1
bien sûr 	b1sur
bientôt 	bi1to
bises 	biz
bon appetit 	bonap
bon après-midi 	bonaprem
bonjour 	bjr
bonne nuit 	bn
bosser 	boC
bouche 	bch
cadeau 	Kdo - kdo
cafard 	Kfar
café 	Kfé - kfé
caisse 	KS
câlin 	Kl1 - kl1
ça ne va pas 	savapa
canon 	Knon
capoeira 	capou
cassé - casser 	KC - kc - Kc
cassette 	k7
ça va 	cv
ça va pa 	savapa
ça y est 	ayé
ceder 	cd
célibataire 	celib - clib - celibater - clibatr
ces 	cê
c’est-à-dire 	cad
c'est à dire 	cad - 7adir - 7adire
c'est bien 	c b 1
c’est 	C
c'est ça 	C Ca - C ça
c'est 	C - c
c'est chaud 	C cho
c'est de la balle 	C2 labal
c'est de la 	cdla
c'est malin 	C mal1
c'est pas grave 	C pa grave
c'est super 	C2 labal - C2labal
c'est super 	cdla bal
c'est super 	cdla bombe
c’était 	CT
c'était 	CT - cr
cet(te) 	7
changer 	chanG
chaud 	cho
cher 	reuch
cheveux 	chx
chien 	chi1
cigare 	6gar
cigarette 	6garett - 6garet - 6garette
cigarette 	garet6
cigarette 	garo
ciné 	6né
cinéma 	6néma
cité 	6t
clair 	klR - klr
cocu 	koQ - koq
coeur 	keur - kEr
colère 	colr
commander 	komanD
comme 	kom
comment ça va ? 	komencava ?
comment 	cmt - comen
comment 	komen
comment va 	komenva
compris 	kompri
concert 	concR
concert 	KoncR
contester 	ContST
contester 	kontST
coquin 	cok1 - cokin
coquine 	cokine
coucou 	cc
coucou 	kikou
crois 	x
cruel 	cruL
cruel 	kruL
cul 	Q
d'accord 	dak
d'accord 	oki
dans 	ds
danser 	danC
dans tous les cas 	entouka
dans tous les cas 	entouk - entouka
de 	2
décédé 	dcd
décider 	D6D
de fou 	2ouf
de la balle 	2labal
de la bombe 	2labomb
de la 	dla
demain 	2m1 - 2min
demain 	d2m1 - dem1
demander 	2manD
dépenser 	DpenC
déranger 	DranG
descend 	D100 - d100 - dS100
des 	dê
désespéré 	DzSPré - DzSPre
désolé 	dsl
désolé 	Dzolé
dès que possible 	asap
détester 	DtST - DtsT
devant 	2van
dictionnaire 	10ko - 10co
dictionnaire 	dico
dingue 	d1gue
discuter 	10kuT - 10kut
discuter 	diskuT
douter 	douT
drogué 	camé
dur 	hard
échanger 	echanG
éclaté de rire 	lol
écouter 	écouT - écout
elle est partie 	LcKc
elle 	L
emprunter 	empr1T
encore 	enkor - enkore
énergie 	NRJ
énervé 	NRV
énervé 	vnr - véner - venere
enfer 	enfR
en plus 	en +
en tous cas 	entouK - en tou K
épater 	épaT
était 	éT
et 	é
eu 	u
exagère 	éxagR
exagère 	XaGR
excellent 	exClen
excellent 	Xcellent - Xcellen
excuse 	exQz
excuser - excusé 	exQzé
excuser - excusé 	XQzé
éxiger - exigé 	exiG
exiger - exigé 	XIG
explosé de rire 	xpldr
faire 	fR
faites 	fêt
fait 	fé
faut 	fo
fesses 	boule
fesses 	tarP - tarpé
fête 	fet
fête 	teuf
fier 	fiR
fille 	meuf
filles 	meufs
flemme 	flem
flipper 	fliP
folle 	fol
fou 	foo
fou 	ouf
français 	francè - francè
français 	frC
france 	FR
frère 	frero
frère 	frR
fruit 	fr8 - fr8t
gant 	gan
garçon 	ga
garçon 	kem - keum
garçon 	mek
garçons 	keums
géant 	Gen
génial 	Gnial
gerer 	Gré - gré
glander 	glnD
grande 	gde
grand 	gd
grave 	GraV - graV
gros 	big
gros 	gro
habiter 	abiT
haine 	N
hasard 	azar
hasard 	hazar
hésiter 	éziT
heureuse 	Er - ErEz
heureux 	ErE
hier 	IR
horreur 	orEr
hôtel 	otL
hystérique 	isTrik - is Trik
il y avait 	yaV
il y a 	ya
imaginer 	ImaJn
imbécile 	1Bcile
impossible 	1posibl - 1posible
indifférent 	1diféren
intéressé 	1TreC
internet 	net
inviter 	1viT
j’ai 	G - g
j’ai la haine 	G la N
j’ai pété les plombs 	G P Tlé plon
jaloux 	jalou
jamais 	jamé - jms
j'attend 	jaten - jatend
j’attends 	jaten
j’avais 	jaV
je 	j
je le savais 	j’le sav - jle savè
je me 	jme
j'en ai marre 	jenémar
j’en ai marre 	jenémar
je rigole 	lol
je sais 	jsais
je saurais 	jsere
j'espère 	jSpR
j'espère que tu vas bien 	jSpR ktu va bi1
j’espère que tu vas bien 	jSpR ktu va bi1
je suis 	chuis - chui
je suis 	jsui - jsuis
je t'adore 	jtd - jtdr
je t’aime 	jtaim - jtaime
je t’aime 	jtem - jtm - jt’M - je t’M
j'étais 	gt
j’étais 	gt
je t’appelle dès que je peux 	j’tapLDkej’pE - j’tapLdkej’pe
je t’attends 	jtaten
je te 	jte
je te l’ai déjà dit 	jeteléDjadi
jeter 	jT
jeu 	jE
je veux 	jve
je viens 	jvien - jviens
je voudrais 	jvoudrais - jvoudrai - jvoudre
joint 	bdo
joint 	oinj - ou1J - ouinj
jour 	jr
journal télévisé 	JT
juger 	juG
juste une minute 	1mn
kabyle 	Kbil
kakatoès 	KKtoS
kamikaze 	KmiKz
karaté 	karaT
Kasbah 	Ksba
kayak 	Kiak - Kyak
lâche 	lH
laisse 	lèS
laisser 	LC - lC
laisse tomber 	l'S tomB
laquelle 	lakL - lakel - lakelle
lequel 	lekL - lekel - lekl
lit 	li
lui 	l8
lundi 	l1di
magasin 	magaz1
maintenant 	m1tNan - mnt
mais 	mè - mé
mais 	ms
maison 	kaze - kaz
malade 	malad
malin 	mal1
manger 	manG
manque 	mank
matin 	mat1
mauvais 	moV
maximum 	max
méchant 	chanmé
méga mort de rire 	mmdr
même 	mm
ménager 	ménaG
merde 	mrd
mère 	mR
mes 	mê
message 	msg
message SmS 	texto
métro 	trom
mettre 	(M)
minute 	mn
moi je vais bien 	m jvb
moi 	mwa
moins 	-
moi 	oim
moi 	wam
mort de rire 	MDR - mdr
mort 	die
moyen 	moy1
musculation 	muscQ - musQ
musique 	muzik
musique 	zik
nécessaire 	néCsR
nerveux 	nRvE - nervE
ne t'inquiète pas 	tkt
neuf 	9
no comment 	nc - ne
nombre 	nbr - nb
nombreux 	nombrE
non 	n - no - nn
nous 	ns
nouveau 	nouvo
nouvelle 	nouvL
nouvelles 	news
occupé 	OQP
oh mon Dieu 	omg
oh 	Ô
osé 	oZ
oublié 	zaP - zapé
ouvert 	ouvR
parce que 	prk
parents 	remps - renps
parler 	tchatcher
parti 	tipar
partout 	partut - partt
pas 	aps
pas du tout 	tropa - troaps - tropas
pas 	pa
passer 	paC
payer 	péyé - péy
pendant 	pdt
pépère 	ppr
père 	pR
perturber 	pRturB
pété de rire 	ptdr
petite 	ptite
petit 	pti - ptit
peu 	pE
photo 	foto
piger 	piG
pitbull 	pit
plein 	pl1
pleurer 	sniiif
pluie 	plui
plus 	+
plus 	plu
poids 	poa
point 	po1
policier 	keuf
policier 	kisD - kisde
policier 	konD - konde
policiers 	keufs
policiers 	kondes
poser 	poz
pour moi 	4me
pour 	pr
pourquoi 	pk
pourtant 	prtan - prtant
pour toi 	4u
pressé 	preC - préC
problème 	pb - blèm
quand 	qd - kan
que 	ke
quel 	kL - kel
quelque 	kelke
quelqu'un 	kk1
quelqu'un 	kLq1 - kelkun
qu'est-ce que c'est ? 	keske C
qu'est-ce que 	keske
qu'est ce que tu 	kestu
qu'est-ce qu'il y a ? 	kekina
question 	kestion
qui 	ki
qu'il 	kil
quitter 	kiT
quitter 	quiT
quoi de neuf 	kwa d' 9 - koi29
quoi 	koi - koa - kwa
qu'on 	kon
rappel 	rapL
rater 	ra
rater 	raT
rat 	ra
rejoins 	rejo1
rendez-vous 	rdv
répéter 	réPT
répondez s'il vous plait 	rsvp
répond 	rpd
répond s'il te plait 	rstp
réponse 	rep
re-salut 	re
restaurant 	resto
retarder - retardé 	retarD
réunion 	réU
réussir 	réucir
ridicule 	ridiQl
rien à faire 	raf - rafR
rien à foutre 	RAF
rien à signaler 	ras
rien 	ri1
rigole 	lol
rire 	arf
rue 	rU
sale 	sal
salut ça va ? moi je vais bien 	slt cv ? m jvb
salut ça va ? 	slt cav ? - slt sv
salut 	slt
sans 	100
savoir 	savoar
semaine 	semN - sem
serait 	srai - sre
série 	Cri
sérieux 	CriE
si 	6
s'il te plait 	stp
s'il vous plait 	svp
skate 	sk8
soeur 	seur
soirée 	resoi - ressoi
sont 	st
souvent 	svt
sport 	spor
stressé 	strC
super 	2labal
super 	dla bal - dla balle
super 	dlabombe
surveillé 	fliké
sympa 	5pa
ta geule 	tgl - TG
t'aime 	tm
taire 	tR
tarder 	tarD
te faire 	tfR
téléphone 	fone
temps 	tps
tes 	T - tè - Tê
tête 	tet
t'inquiète 	tkt - tinkiète
today 	2day
toi 	oit
toi 	twa
toujours 	tj - tjr - tjrs - tutjour
tout 	tt - tut
train 	tr1
tranquillement 	trnklt
tranquille 	tkl
tranquille 	trankil
travailler 	tafer
travail 	taf
trop tard 	2L8
trop 	tro
tu as 	tas
tu auras 	tora
tu es cocu 	T koQ
tu es fou 	tgrav
tu es hideux 	ti2
tu es le plus beau 	tle +bo
tu es 	t - T - tè - Tê
tu étais 	TT - tt
tu habites où ? 	tabitou
tu n'es pas fâché ? 	Tpa fâché
tu viens demain ? 	tu vi1 2m1 ? - tu vi1 2m'1
un(e) 	1
utilizer 	utilizé
vas-y 	vazi - vazy
vélo 	Vlo
venez 	vnez
vent 	ven
vers 	vR
viens 	vi1
vite 	vit
vite 	VIT
vivement 	vivmt
voilà 	vla
voiture 	KS
vous 	vs
voyager 	VoyaG
vraiment 	vraimen - vremen - vrMen
vraiment 	vrMen
week-end 	WE - we - w-e
